Twitter Screenname,Political Party
SamsPressShop,R
rosadelauro,D
AlanGrayson,D
WhipHoyer,D
FrankPallone,D
RepMikeHonda,D
DelegateDonna,D
john_dingell,D
RepWilson,D
RepCohen,D
DesJarlaisTN04,R
TomRooney,R
RepTomMarino,R
RepMarkMeadows,R
OlsonPressShop,R
RepDaveJoyce,R
RepJoeHeck,R
RepJoePitts,R
chakafattah,D
GreggHarper,R
RepShelley,R
DocHastings,R
RepWestmoreland,R
MacTXPress,R
RepKristiNoem,R
repjohnlewis,D
repdonyoung,R
JuliaBrownley,D
RepDLamborn,R
RepChrisCollins,R
Rep_JaniceHahn,D
LEETERRYNE,R
RepRichHudson,R
RepStephenLynch,D
RepCartwright,D
RepJoeBarton,R
dgvaladao,R
RepAdamSchiff,D
MikeKellyPA,R
RepHuizenga,R
RepTimMurphy,R
RepGraceMeng,D
RepPeterWelch,D
RepGaryMiller,R
JackKingston,R
RepMarthaRoby,R
RepAdrianSmith,R
SanfordBishop,D
RepKarenBass,D
RepHorsford,D
RepHanabusa,D
virginiafoxx,R
RepLipinski,D
jasoninthehouse,R
RepLindaSanchez,D
boblatta,R
RepMcKinley,R
RepSinema,D
repjohnbarrow,D
bradwenstrup,R
MarshaBlackburn,R
BennieGThompson,D
repdavidscott,D
RogerWilliamsTX,R
RepTomReed,R
JudgeTedPoe,R
